PeakID (cmd=annotatePeaks.pl loss_I315IvI315X.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
779	chr5	73170475	73170974	+	0	NA	Intergenic	LTR50|LTR|ERVL	-2469	NM_153217	134288	Hs.508588	NM_153217	ENSG00000164325	TMEM174	-	transmembrane protein 174	protein-coding
990	chr7	88400957	88401456	+	0	NA	Intergenic	Intergenic	-94312	NM_001205316	79689	Hs.521008	NM_024636	ENSG00000127954	STEAP4	STAMP2|SchLAH|TIARP|TNFAIP9	STEAP4 metalloreductase	protein-coding
127	chr20	61204402	61204901	+	0	NA	Intergenic	Intergenic	-47610	NM_001794	1002	Hs.473231	NM_001794	ENSG00000179242	CDH4	CAD4|R-CAD|RCAD	cadherin 4	protein-coding
1248	chr16	20870269	20870768	+	0	NA	intron (NM_173475, intron 1 of 2)	intron (NM_173475, intron 1 of 2)	-29364	NM_001369631	57149	Hs.745012	NM_020424	ENSG00000102897	LYRM1	A211C6.1	LYR motif containing 1	protein-coding
193	chr15	62981046	62981545	+	0	NA	Intergenic	L2|LINE|L2	-61452	NM_001018006	7168	Hs.133892	NM_000366	ENSG00000140416	TPM1	C15orf13|CMD1Y|CMH3|HEL-S-265|HTM-alpha|LVNC9|TMSA	tropomyosin 1	protein-coding
1205	chr1	182060743	182061242	+	0	NA	intron (NM_001009992, intron 1 of 1)	intron (NM_001009992, intron 1 of 1)	720	NM_001009992	127665	Hs.684328	NM_001009992	ENSG00000179930	ZNF648	-	zinc finger protein 648	protein-coding
662	chr12	46181562	46182061	+	0	NA	Intergenic	MLT2B3|LTR|ERVL	84705	NM_001278389	81539	Hs.533770	NM_030674	ENSG00000111371	SLC38A1	ATA1|NAT2|SAT1|SNAT1	solute carrier family 38 member 1	protein-coding
299	chr2	149073209	149073708	+	0	NA	intron (NM_001317006, intron 1 of 4)	intron (NM_001317006, intron 1 of 4)	-4064	NM_001317004	130576	Hs.357567	NM_177964	ENSG00000150556	LYPD6B	CT116|LYPD7	LY6/PLAUR domain containing 6B	protein-coding
746	chr22	25415329	25415828	+	0	NA	Intergenic	Intergenic	-32509	NR_033734	1416	Hs.571835	NR_033733	ENSG00000100058	CRYBB2P1	CRYB2B	crystallin beta B2 pseudogene 1	pseudo
554	chr2	231568895	231569394	+	0	NA	Intergenic	Intergenic	-23720	NM_152614	165100	Hs.98104	NM_152614	ENSG00000177673	TEX44	C2orf57	testis expressed 44	protein-coding
508	chr7	150288772	150289271	+	0	NA	intron (NR_147012, intron 4 of 10)	intron (NR_147012, intron 4 of 10)	13959	NM_001164459	653857	Hs.664579	NM_001164458	ENSG00000106526	ACTR3C	ARP11	actin related protein 3C	protein-coding
333	chr6	43222638	43223137	+	0	NA	exon (NM_015089, exon 38 of 41)	exon (NM_015089, exon 38 of 41)	6594	NM_199184	10591	Hs.109752	NM_006443	ENSG00000112667	DNPH1	C6orf108|RCL|dJ330M21.3	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	protein-coding
894	chrX	103210932	103211431	+	0	NA	Intergenic	MER66C|LTR|ERV1	-3911	NM_001127688	56271	Hs.184736	NM_001080425	ENSG00000102409	BEX4	BEXL1	brain expressed X-linked 4	protein-coding
472	chr11	28042752	28043251	+	0	NA	intron (NM_031217, intron 13 of 16)	intron (NM_031217, intron 13 of 16)	-13814	NR_030341	693195		NR_030341	ENSG00000207874	MIR610	MIRN610|hsa-mir-610	microRNA 610	ncRNA
1216	chr10	70499809	70500308	+	0	NA	intron (NM_014431, intron 1 of 19)	MIR|SINE|MIR	21291	NM_014431	27143	Hs.202351	NM_014431	ENSG00000107719	PALD1	KIAA1274|PALD	phosphatase domain containing paladin 1	protein-coding
983	chr2	46580171	46580670	+	0	NA	promoter-TSS (NR_104182)	promoter-TSS (NR_104182)	-182	NR_104182	100506142	Hs.658541	NR_104182	ENSG00000250116	LOC100506142	-	uncharacterized LOC100506142	ncRNA
447	chr7	149283799	149284298	+	0	NA	non-coding (NR_144366, exon 7 of 7)	non-coding (NR_144366, exon 7 of 7)	-1233	NR_036573	155060	Hs.490512	NR_015357	ENSG00000244560	LOC155060	-	AI894139 pseudogene	pseudo
412	chr14	22946342	22946841	+	0	NA	exon (NM_001166269, exon 10 of 10)	exon (NM_001166269, exon 10 of 10)	10438	NR_039856	100616424		NR_039856	ENSG00000284118	MIR4707	mir-4707	microRNA 4707	ncRNA
1189	chr17	60044006	60044505	+	0	NA	intron (NM_022070, intron 19 of 19)	intron (NM_022070, intron 19 of 19)	-1150	NR_039890	100616210		NR_039890	ENSG00000264049	MIR4737	-	microRNA 4737	ncRNA
525	chr8	6497211	6497710	+	0	NA	intron (NM_024596, intron 11 of 13)	AluSz|SINE|Alu	65785	NM_001118887	285	Hs.583870	NM_001147	ENSG00000091879	ANGPT2	AGPT2|ANG2	angiopoietin 2	protein-coding
698	chr5	180027247	180027746	+	0	NA	intron (NM_001280801, intron 2 of 7)	intron (NM_001280801, intron 2 of 7)	-12099	NR_029885	442908		NR_029885	ENSG00000198995	MIR340	MIRN340|hsa-mir-340|mir-340	microRNA 340	ncRNA
1022	chr10	20777961	20778460	+	0	NA	Intergenic	Intergenic	119392	NM_006393	10529	Hs.5025	NM_006393	ENSG00000078114	NEBL	LASP2|LNEBL	nebulette	protein-coding
882	chr6	34136342	34136841	+	0	NA	intron (NM_000841, intron 1 of 10)	(AC)n|Simple_repeat|Simple_repeat	9496	NM_001282847	2914	Hs.429018	NM_000841	ENSG00000124493	GRM4	GPRC1D|MGLUR4|mGlu4	glutamate metabotropic receptor 4	protein-coding
491	chr9	35495896	35496395	+	0	NA	intron (NM_001330740, intron 1 of 10)	intron (NM_001330740, intron 1 of 10)	6034	NR_052015	9853	Hs.493796	NM_014806	ENSG00000198853	RUSC2	Iporin|MRT61	RUN and SH3 domain containing 2	protein-coding
475	chr19	13186201	13186700	+	0	NA	Intergenic	LTR12C|LTR|ERV1	36039	NM_004907	9592	Hs.501629	NM_004907	ENSG00000160888	IER2	ETR101	immediate early response 2	protein-coding
539	chr2	97082842	97083341	+	0	NA	TTS (NM_199336)	TTS (NM_199336)	11791	NM_001320848	151313	Hs.567723	NM_199336	ENSG00000144199	FAHD2B	-	fumarylacetoacetate hydrolase domain containing 2B	protein-coding
957	chr10	71865548	71866047	+	0	NA	Intergenic	Intergenic	-14546	NM_002778	5660	Hs.523004	NM_002778	ENSG00000197746	PSAP	GLBA|SAP1	prosaposin	protein-coding
1010	chr6	138683021	138683520	+	0	NA	Intergenic	Intergenic	-8398	NR_033896	441172	Hs.92290	NR_033896		FLJ46906	-	uncharacterized LOC441172	ncRNA
758	chr2	73086339	73086838	+	0	NA	intron (NM_001371272, intron 3 of 5)	intron (NM_001371272, intron 3 of 5)	-14752	NM_001330402	94097	Hs.368171	NM_144579	ENSG00000144040	SFXN5	BBG-TCC|SLC56A5	sideroflexin 5	protein-coding
180	chr6	77650285	77650784	+	0	NA	5' UTR (NM_001282136, exon 1 of 5)	5' UTR (NM_001282136, exon 1 of 5)	260	NM_001282136	101928601	Hs.544538	NM_001282136	ENSG00000269964	MEI4	-	meiotic double-stranded break formation protein 4	protein-coding
522	chr4	133560519	133561018	+	0	NA	Intergenic	MER52A|LTR|ERV1	411474	NM_020815	57575	Hs.192859	NM_020815	ENSG00000138650	PCDH10	OL-PCDH|PCDH19	protocadherin 10	protein-coding
16	chr7	6531946	6532929	+	0	NA	intron (NM_001145118, intron 2 of 21)	intron (NM_001145118, intron 2 of 21)	18999	NM_001145118	392862	Hs.512174	NM_001145118	ENSG00000215045	GRID2IP	DELPHILIN	Grid2 interacting protein	protein-coding
415	chr1	1381527	1382026	+	0	NA	Intergenic	Intergenic	-6569	NM_017900	54998	Hs.632515	NM_017900	ENSG00000175756	AURKAIP1	AIP|AKIP|MRP-S38	aurora kinase A interacting protein 1	protein-coding
704	chr12	49931893	49932392	+	0	NA	Intergenic	Zaphod|DNA|hAT-Tip100	-18599	NM_000486	359	Hs.130730	NM_000486	ENSG00000167580	AQP2	AQP-CD|WCH-CD	aquaporin 2	protein-coding
885	chr2	236344747	236345246	+	0	NA	intron (NR_073043, intron 15 of 19)	intron (NR_073043, intron 15 of 19)	-80651	NM_212556	401036	Hs.639909	NM_212556	ENSG00000182177	ASB18	ASB-18	ankyrin repeat and SOCS box containing 18	protein-coding
1052	chr6	130064524	130065023	+	0	NA	intron (NM_001007102, intron 9 of 21)	intron (NM_001007102, intron 9 of 21)	45129	NM_001346550	84456	Hs.658051	NM_032438	ENSG00000198945	L3MBTL3	MBT-1|MBT1	L3MBTL histone methyl-lysine binding protein 3	protein-coding
984	chr5	173047663	173048162	+	0	NA	Intergenic	LTR1F2|LTR|ERV1	-8440	NM_001168394	153222	Hs.484195	NM_153607	ENSG00000164463	CREBRF	C5orf41|LRF	CREB3 regulatory factor	protein-coding
676	chr14	66597455	66597954	+	0	NA	intron (NM_001024218, intron 1 of 21)	MER52D|LTR|ERV1	90297	NM_001024218	10243	Hs.208765	NM_020806	ENSG00000171723	GPHN	GEPH|GPH|GPHRYN|HKPX1|MOCODC	gephyrin	protein-coding
256	chr3	170437125	170437624	+	0	NA	Intergenic	Intergenic	14271	NR_106886	102465497		NR_106886	ENSG00000283474	MIR6828	hsa-mir-6828	microRNA 6828	ncRNA
182	chr5	74666653	74667152	+	0	NA	intron (NM_001292004, intron 1 of 13)	intron (NM_001292004, intron 1 of 13)	-18331	NM_000521	3074	Hs.69293	NM_000521	ENSG00000049860	HEXB	ENC-1AS|HEL-248|HEL-S-111	hexosaminidase subunit beta	protein-coding
767	chr11	111784797	111785296	+	0	NA	non-coding (NR_147984, exon 16 of 16)	non-coding (NR_147984, exon 16 of 16)	-18657	NM_001177563	5519	Hs.269128	NM_002716	ENSG00000137713	PPP2R1B	PP2A-Abeta|PR65B	protein phosphatase 2 scaffold subunit Abeta	protein-coding
520	chr15	90271240	90271739	+	0	NA	non-coding (NR_028052, exon 2 of 2)	non-coding (NR_028052, exon 2 of 2)	-5730	NR_102428	10519	Hs.715556	NM_006384	ENSG00000185043	CIB1	CIB|CIBP|KIP1|PRKDCIP|SIP2-28	calcium and integrin binding 1	protein-coding
968	chr5	95455674	95456173	+	0	NA	Intergenic	L2c|LINE|L2	64557	NM_152548	153643	Hs.276287	NM_152548	ENSG00000153347	FAM81B	-	family with sequence similarity 81 member B	protein-coding
1085	chr1	15256499	15256998	+	0	NA	intron (NM_052929, intron 2 of 30)	intron (NM_052929, intron 2 of 30)	9523	NM_052929	114827	Hs.659997	NM_052929	ENSG00000142621	FHAD1	-	forkhead associated phosphopeptide binding domain 1	protein-coding
43	chr5	76331797	76332296	+	0	NA	3' UTR (NM_014979, exon 13 of 13)	3' UTR (NM_014979, exon 13 of 13)	-71239	NM_006633	10788	Hs.291030	NM_006633	ENSG00000145703	IQGAP2	-	IQ motif containing GTPase activating protein 2	protein-coding
616	chr1	51086888	51087387	+	0	NA	Intergenic	L1M2a|LINE|L1	-15091	NM_001136508	284546	Hs.176177	NM_001136508	ENSG00000204006	C1orf185	-	chromosome 1 open reading frame 185	protein-coding
359	chr10	121747189	121747688	+	0	NA	intron (NM_001001976, intron 11 of 11)	LTR33A_|LTR|ERVL	-148980	NM_022970	2263	Hs.533683	NM_000141	ENSG00000066468	FGFR2	BBDS|BEK|BFR-1|CD332|CEK3|CFD1|ECT1|JWS|K-SAM|KGFR|TK14|TK25	fibroblast growth factor receptor 2	protein-coding
86	chr9	4332175	4332674	+	0	NA	Intergenic	MLT1J|LTR|ERVL-MaLR	-32356	NM_001042413	169792	Hs.162125	NM_152629	ENSG00000107249	GLIS3	NDH|ZNF515	GLIS family zinc finger 3	protein-coding
1093	chr1	172219453	172219952	+	0	NA	intron (NR_146559, intron 15 of 20)	intron (NR_146559, intron 15 of 20)	-74867	NR_103486	100628315	Hs.584880	NR_038397		DNM3OS	DNM3-AS1|MIR199A2HG	DNM3 opposite strand/antisense RNA	ncRNA
361	chr11	107960756	107961255	+	0	NA	intron (NM_017516, intron 1 of 1)	LTR33|LTR|ERVL	32557	NM_017516	54734	Hs.354906	NM_017516	ENSG00000179331	RAB39A	RAB39	RAB39A, member RAS oncogene family	protein-coding
880	chr10	71880742	71881241	+	0	NA	Intergenic	L2b|LINE|L2	-29740	NM_002778	5660	Hs.523004	NM_002778	ENSG00000197746	PSAP	GLBA|SAP1	prosaposin	protein-coding
1002	chr1	180003989	180004488	+	0	NA	intron (NM_014810, intron 7 of 37)	intron (NM_014810, intron 7 of 37)	49428	NM_014810	9857	Hs.413045	NM_014810	ENSG00000135837	CEP350	CAP350|GM133	centrosomal protein 350	protein-coding
185	chr10	1037114	1037613	+	0	NA	intron (NR_027709, intron 4 of 4)	intron (NR_027709, intron 4 of 4)	-11504	NM_033261	91734	Hs.9270	NM_033261	ENSG00000148377	IDI2	IPPI2	isopentenyl-diphosphate delta isomerase 2	protein-coding
649	chr10	119217438	119217937	+	0	NA	intron (NM_005308, intron 1 of 15)	intron (NM_005308, intron 1 of 15)	10116	NM_005308	2869	Hs.524625	NM_005308	ENSG00000198873	GRK5	FP2025|GPRK5	G protein-coupled receptor kinase 5	protein-coding
410	chr5	10537479	10537978	+	0	NA	Intergenic	Intergenic	-15644	NR_134289	389273	Hs.519206	NR_134289	ENSG00000249160	LINC02213	-	long intergenic non-protein coding RNA 2213	ncRNA
470	chr1	212630617	212631116	+	0	NA	Intergenic	Intergenic	6392	NM_153606	149647	Hs.129293	NM_153606	ENSG00000162771	FAM71A	GARI-L4	family with sequence similarity 71 member A	protein-coding
703	chr1	174144351	174144850	+	0	NA	intron (NR_121197, intron 3 of 3)	L1PA7|LINE|L1	14687	NR_121197	102724601	Hs.563791	NR_121197	ENSG00000227373	RABGAP1L-DT	-	RABGAP1L divergent transcript	ncRNA
1066	chr5	76503951	76504450	+	0	NA	intron (NM_006633, intron 2 of 35)	intron (NM_006633, intron 2 of 35)	-43209	NM_001285460	10788	Hs.291030	NM_006633	ENSG00000145703	IQGAP2	-	IQ motif containing GTPase activating protein 2	protein-coding
248	chr12	31105995	31106494	+	0	NA	Intergenic	Intergenic	32384	NM_152438	1663	Hs.443960	NM_004399	ENSG00000013573	DDX11	CHL1|CHLR1|KRG2|WABS	DEAD/H-box helicase 11	protein-coding
995	chr4	165599743	165600242	+	0	NA	Intergenic	L2b|LINE|L2	-84647	NR_121676	101928151	Hs.639858	NR_121676	ENSG00000249500	LINC01179	-	long intergenic non-protein coding RNA 1179	ncRNA
378	chr5	74966634	74967133	+	0	NA	Intergenic	LTR36|LTR|ERV1	85675	NM_001366737	51301	Hs.272404	NM_016591	ENSG00000176928	GCNT4	C2GNT3|LINC01336	glucosaminyl (N-acetyl) transferase 4	protein-coding
68	chr19	58536762	58537261	+	0	NA	intron (NM_001316980, intron 1 of 2)	intron (NM_001316980, intron 1 of 2)	1900	NM_001316982	84878	Hs.515662	NM_032792	ENSG00000119574	ZBTB45	ZNF499	zinc finger and BTB domain containing 45	protein-coding
1225	chr4	3556167	3556666	+	0	NA	Intergenic	Intergenic	-20453	NR_040045	285492	Hs.145563	NM_173661		LINC00955	-	long intergenic non-protein coding RNA 955	ncRNA
660	chr20	51758909	51759408	+	0	NA	intron (NM_006045, intron 1 of 27)	intron (NM_006045, intron 1 of 27)	9232	NM_006045	10079	Hs.649234	NM_006045	ENSG00000054793	ATP9A	ATPIIA	ATPase phospholipid transporting 9A (putative)	protein-coding
1143	chr12	66118226	66118725	+	0	NA	3' UTR (NM_032338, exon 3 of 3)	3' UTR (NM_032338, exon 3 of 3)	12275	NM_032338	84298	Hs.504820	NM_032338	ENSG00000139233	LLPH	C12orf31|hLLP	LLP homolog, long-term synaptic facilitation factor	protein-coding
836	chr5	10432357	10432856	+	0	NA	intron (NM_001270660, intron 24 of 24)	intron (NM_001270660, intron 24 of 24)	9245	NR_102746	100505845	Hs.599395	NR_102746		ROPN1L-AS1	-	ROPN1L antisense RNA 1	ncRNA
318	chr2	36614082	36614581	+	0	NA	Intergenic	Intergenic	-16163	NM_005102	9637	Hs.258563	NM_005102	ENSG00000171055	FEZ2	HUM3CL	fasciculation and elongation protein zeta 2	protein-coding
587	chr19	42752233	42752732	+	0	NA	TTS (NM_001130167)	TTS (NM_001130167)	-12001	NM_021016	5671	Hs.654413	NM_021016	ENSG00000221826	PSG3	-	pregnancy specific beta-1-glycoprotein 3	protein-coding
72	chr3	42649951	42650450	+	0	NA	intron (NR_125400, intron 1 of 2)	intron (NR_125400, intron 1 of 2)	-3497	NM_145166	92999	Hs.409561	NM_145166	ENSG00000114853	ZBTB47	ZNF651	zinc finger and BTB domain containing 47	protein-coding
992	chr9	67090982	67091481	+	0	NA	intron (NR_111893, intron 2 of 23)	intron (NR_111893, intron 2 of 23)	31771	NR_111893	643827	Hs.521495	NM_001012280		CNTNAP3P2	-	CNTNAP3 pseudogene 2	pseudo
1017	chr3	28315636	28316135	+	0	NA	intron (NM_001331186, intron 3 of 4)	Tigger3a|DNA|TcMar-Tigger	-32836	NM_001040432	152098	Hs.510635	NM_001040432	ENSG00000206559	ZCWPW2	ZCW2	zinc finger CW-type and PWWP domain containing 2	protein-coding
911	chr8	131028697	131029196	+	0	NA	intron (NM_001115, intron 1 of 17)	intron (NM_001115, intron 1 of 17)	11963	NM_001115	114	Hs.591859	NM_001115	ENSG00000155897	ADCY8	AC8|ADCY3|HBAC1	adenylate cyclase 8	protein-coding
194	chr12	65474392	65474891	+	0	NA	intron (NR_120431, intron 3 of 3)	intron (NR_120431, intron 3 of 3)	82670	NR_135033	105369187	Hs.738044	NR_135033	ENSG00000250748	LOC105369187	-	uncharacterized LOC105369187	ncRNA
1238	chr9	93664566	93665065	+	0	NA	intron (NM_005392, intron 14 of 21)	intron (NM_005392, intron 14 of 21)	69974	NR_049853	100847045		NR_049853	ENSG00000283146	MIR548AU	-	microRNA 548au	ncRNA
466	chr4	1174857	1175356	+	0	NA	intron (NM_001199021, intron 2 of 7)	intron (NM_001199021, intron 2 of 7)	-1895	NM_001128325	10417	Hs.302963	NM_012445	ENSG00000159674	SPON2	DIL-1|DIL1|M-SPONDIN|MINDIN	spondin 2	protein-coding
893	chr1	89853772	89854271	+	0	NA	intron (NM_001134479, intron 2 of 2)	L2b|LINE|L2	32082	NM_018103	55144	Hs.482087	NM_018103	ENSG00000171492	LRRC8D	LRRC5	leucine rich repeat containing 8 VRAC subunit D	protein-coding
1255	chr10	68340641	68341140	+	0	NA	TTS (NR_103475)	TTS (NR_103475)	-7962	NM_022129	64081	Hs.198158	NM_022129	ENSG00000108187	PBLD	HEL-S-306|MAWBP|MAWDBP	phenazine biosynthesis like protein domain containing	protein-coding
827	chr1	244054971	244055470	+	0	NA	exon (NM_006352, exon 1 of 1)	exon (NM_006352, exon 1 of 1)	2015	NM_006352	10472	Hs.69997	NM_006352	ENSG00000179456	ZBTB18	C2H2-171|MRD22|RP58|TAZ-1|ZNF238	zinc finger and BTB domain containing 18	protein-coding
334	chr9	112887289	112887788	+	0	NA	intron (NM_033051, intron 1 of 3)	intron (NM_033051, intron 1 of 3)	3338	NM_033051	57864	Hs.512668	NM_033051	ENSG00000119457	SLC46A2	Ly110|TSCOT	solute carrier family 46 member 2	protein-coding
971	chr11	126383447	126383946	+	0	NA	intron (NM_001348396, intron 2 of 11)	intron (NM_001348396, intron 2 of 11)	-19720	NM_001254758	6484	Hs.591947	NM_006278	ENSG00000110080	ST3GAL4	CGS23|NANTA3|SAT3|SIAT4|SIAT4C|ST-4|ST3GalA.2|ST3GalIV|STZ|gal-NAc6S	ST3 beta-galactoside alpha-2,3-sialyltransferase 4	protein-coding
553	chr10	110720375	110720874	+	0	NA	intron (NM_001134363, intron 1 of 13)	L2a|LINE|L2	76288	NM_001134363	282996	Hs.116630	NM_001134363	ENSG00000203867	RBM20	-	RNA binding motif protein 20	protein-coding
217	chr10	51201910	51202409	+	0	NA	intron (NM_001098512, intron 2 of 17)	LTR16A1|LTR|ERVL	-97414	NR_030336	693190		NR_030336	ENSG00000207813	MIR605	MIRN605|hsa-mir-605|mir-605	microRNA 605	ncRNA
242	chr9	125194506	125195005	+	0	NA	Intergenic	Intergenic	-4816	NM_001123369	5537	Hs.744091	NM_002721	ENSG00000119414	PPP6C	PP6|PP6C	protein phosphatase 6 catalytic subunit	protein-coding
372	chr9	121053515	121054014	+	0	NA	intron (NM_001317163, intron 1 of 40)	L1M1|LINE|L1	-3488	NM_001735	727	Hs.494997	NM_001735	ENSG00000106804	C5	C5D|C5a|C5b|CPAMD4|ECLZB	complement C5	protein-coding
500	chr8	38488581	38489080	+	0	NA	Intergenic	Intergenic	-19996	NM_001354367	2260	Hs.264887	NM_015850	ENSG00000077782	FGFR1	BFGFR|CD331|CEK|ECCL|FGFBR|FGFR-1|FLG|FLT-2|FLT2|HBGFR|HH2|HRTFDS|KAL2|N-SAM|OGD|bFGF-R-1	fibroblast growth factor receptor 1	protein-coding
131	chr19	27679918	27680417	+	0	NA	Intergenic	HSAT4|Satellite|centr	-113264	NR_146733	101927151	Hs.567934	NR_110687	ENSG00000267575	LOC101927151	-	uncharacterized LOC101927151	ncRNA
391	chr1	234394353	234394852	+	0	NA	intron (NM_005646, intron 26 of 29)	intron (NM_005646, intron 26 of 29)	20901	NM_001301733	388753	Hs.23198	NM_001012985	ENSG00000168275	COA6	C1orf31|CEMCOX4	cytochrome c oxidase assembly factor 6	protein-coding
89	chr2	64615730	64616229	+	0	NA	non-coding (NR_034023, exon 4 of 4)	non-coding (NR_034023, exon 4 of 4)	8667	NR_034023	339807	Hs.434736	NR_034023	ENSG00000233694	LINC02579	-	long intergenic non-protein coding RNA 2579	ncRNA
657	chr4	41066375	41066874	+	0	NA	intron (NM_173075, intron 3 of 16)	L2b|LINE|L2	147918	NM_001330656	323	Hs.479602	NM_004307	ENSG00000163697	APBB2	FE65L|FE65L1	amyloid beta precursor protein binding family B member 2	protein-coding
277	chr10	3880021	3880520	+	0	NA	Intergenic	Intergenic	46320	NR_134490	105376365	Hs.460114	NR_134490	ENSG00000230573	LINC02639	-	long intergenic non-protein coding RNA 2639	ncRNA
312	chr19	27691038	27691537	+	0	NA	Intergenic	HSAT4|Satellite|centr	-102144	NR_146733	101927151	Hs.567934	NR_110687	ENSG00000267575	LOC101927151	-	uncharacterized LOC101927151	ncRNA
347	chr16	75390119	75390618	+	0	NA	intron (NM_006324, intron 5 of 6)	MER31B|LTR|ERV1	43135	NM_006324	10428	Hs.461361	NM_006324	ENSG00000153774	CFDP1	BCNT|BUCENTAUR|CENP-29|CP27|SWC5|Yeti|p97	craniofacial development protein 1	protein-coding
55	chr8	143958317	143958816	+	0	NA	intron (NM_000445, intron 2 of 32)	L2|LINE|L2	-4732	NM_201379	5339	Hs.434248	NM_000445	ENSG00000178209	PLEC	EBS1|EBSMD|EBSND|EBSO|EBSOG|EBSPA|HD1|LGMD2Q|LGMDR17|PCN|PLEC1|PLEC1b|PLTN	plectin	protein-coding
998	chr7	157405554	157406053	+	0	NA	intron (NM_058246, intron 8 of 9)	intron (NM_058246, intron 8 of 9)	-60428	NR_110157	101927914	Hs.623826	NR_110157	ENSG00000234210	LOC101927914	-	uncharacterized LOC101927914	ncRNA
1202	chr18	12638564	12639063	+	0	NA	intron (NM_020148, intron 1 of 15)	MSTA|LTR|ERVL-MaLR	17919	NM_001128627	56907	Hs.515283	NM_020148	ENSG00000134278	SPIRE1	Spir-1	spire type actin nucleation factor 1	protein-coding
245	chr11	102406115	102406614	+	0	NA	intron (NM_052932, intron 2 of 4)	intron (NM_052932, intron 2 of 4)	46401	NM_052932	114908	Hs.503709	NM_052932	ENSG00000152558	TMEM123	KCT3|PORIMIN|PORMIN	transmembrane protein 123	protein-coding
375	chr11	102393320	102393819	+	0	NA	Intergenic	Intergenic	46195	NM_001256163	329	Hs.696238	NM_001166	ENSG00000110330	BIRC2	API1|HIAP2|Hiap-2|MIHB|RNF48|c-IAP1|cIAP1	baculoviral IAP repeat containing 2	protein-coding
741	chr4	25423672	25424171	+	0	NA	Intergenic	Intergenic	46658	NM_013367	29945	Hs.152173	NM_013367	ENSG00000053900	ANAPC4	APC4	anaphase promoting complex subunit 4	protein-coding
683	chr22	39514286	39514785	+	0	NA	TTS (NR_130790)	TTS (NR_130790)	-6024	NM_001675	468	Hs.496487	NM_001675	ENSG00000128272	ATF4	CREB-2|CREB2|TAXREB67|TXREB	activating transcription factor 4	protein-coding
315	chr10	103912280	103912779	+	0	NA	intron (NM_024928, intron 2 of 9)	intron (NM_024928, intron 2 of 9)	5655	NM_024928	79991	Hs.62314	NM_024928	ENSG00000107960	STN1	AAF-44|AAF44|OBFC1|RPA-32|bA541N10.2	STN1 subunit of CST complex	protein-coding
723	chr14	54418568	54419067	+	0	NA	intron (NM_001330173, intron 8 of 8)	intron (NM_001330173, intron 8 of 8)	21810	NM_005192	1033	Hs.84113	NM_005192	ENSG00000100526	CDKN3	CDI1|CIP2|KAP|KAP1	cyclin dependent kinase inhibitor 3	protein-coding
797	chr19	47804820	47805319	+	0	NA	Intergenic	Intergenic	-1465	NM_198479	284355	Hs.629812	NM_198479	ENSG00000178928	TPRX1	TPRX	tetrapeptide repeat homeobox 1	protein-coding
863	chr8	57885949	57886448	+	0	NA	Intergenic	MLT1F1|LTR|ERVL-MaLR	-92160	NR_130934	100505477	Hs.434693	NR_130934	ENSG00000205293	LINC01602	T1560	long intergenic non-protein coding RNA 1602	ncRNA
750	chr3	196075275	196075774	+	0	NA	intron (NM_001128148, intron 2 of 18)	intron (NM_001128148, intron 2 of 18)	6566	NM_001313965	7037	Hs.529618	NM_003234	ENSG00000072274	TFRC	CD71|IMD46|T9|TFR|TFR1|TR|TRFR|p90	transferrin receptor	protein-coding
188	chr4	37673634	37674133	+	0	NA	intron (NM_001085400, intron 1 of 6)	intron (NM_001085400, intron 1 of 6)	12493	NM_001085399	768211	Hs.283378	NM_001085399	ENSG00000181826	RELL1	-	RELT like 1	protein-coding
1025	chr8	55759855	55760354	+	0	NA	TTS (NM_001286660)	TTS (NM_001286660)	13274	NM_152417	137695	Hs.420076	NM_152417	ENSG00000167904	TMEM68	-	transmembrane protein 68	protein-coding
962	chr13	111516706	111517205	+	0	NA	Intergenic	L1PA16|LINE|L1	-79054	NR_135814	105370369		NR_135814	ENSG00000215881	LINC02337	-	long intergenic non-protein coding RNA 2337	ncRNA
70	chr22	20180424	20180923	+	0	NA	Intergenic	Intergenic	24245	NR_038460	284865	Hs.638498	NR_038460	ENSG00000249923	LOC284865	-	uncharacterized LOC284865	ncRNA
496	chr21	43655371	43655870	+	0	NA	intron (NM_007031, intron 3 of 8)	LTR33|LTR|ERVL	3868	NM_007031	11077	Hs.406157	NM_007031	ENSG00000160207	HSF2BP	-	heat shock transcription factor 2 binding protein	protein-coding
164	chr2	231420475	231420974	+	0	NA	Intergenic	AluJr4|SINE|Alu	25014	NM_145236	93010	Hs.299329	NM_145236	ENSG00000156966	B3GNT7	beta3GnT7	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7	protein-coding
690	chr15	98591850	98592349	+	0	NA	Intergenic	Intergenic	-56440	NM_000875	3480	Hs.643120	NM_000875	ENSG00000140443	IGF1R	CD221|IGFIR|IGFR|JTK13	insulin like growth factor 1 receptor	protein-coding
5	chr4	1774028	1774527	+	0	NA	Intergenic	Intergenic	-19016	NM_001354810	2261	Hs.1420	NM_000142	ENSG00000068078	FGFR3	ACH|CD333|CEK2|HSFGFR3EX|JTK4	fibroblast growth factor receptor 3	protein-coding
